freq,citizen,age,unit,sex,geo\TIME_PERIOD	2021 	2022 	2023 	2024 
A,EFTA_FOR,TOTAL,PC,F,AT	: 	53.0 	53.1 	52.8 
A,EFTA_FOR,TOTAL,PC,F,BE	: 	52.1 	52.7 	52.7 
A,EFTA_FOR,TOTAL,PC,F,BG	25.1 	27.8 	32.8 	33.1 
A,EFTA_FOR,TOTAL,PC,F,CH	: 	48.1 	48.4 	48.1 
A,EFTA_FOR,TOTAL,PC,F,CY	54.5 	54.4 	53.8 	53.6 
A,EFTA_FOR,TOTAL,PC,F,CZ	: 	31.1 b	32.0 	32.4 
A,EFTA_FOR,TOTAL,PC,F,DE	: 	54.5 	54.4 	54.6 
A,EFTA_FOR,TOTAL,PC,F,DK	: 	58.1 	58.2 	58.3 
A,EFTA_FOR,TOTAL,PC,F,EE	: 	23.3 	24.9 	26.9 
A,EFTA_FOR,TOTAL,PC,F,EL	: 	62.5 b	62.6 	62.6 
A,EFTA_FOR,TOTAL,PC,F,ES	: 	51.2 	51.4 	51.5 
A,EFTA_FOR,TOTAL,PC,F,EU27_2020	: 	53.4 bep	: 	: 
A,EFTA_FOR,TOTAL,PC,F,FI	: 	39.1 	38.9 	38.9 
A,EFTA_FOR,TOTAL,PC,F,FR	53.8 	54.7 p	52.7 p	54.8 p
A,EFTA_FOR,TOTAL,PC,F,HR	: 	45.3 b	45.4 	46.2 
A,EFTA_FOR,TOTAL,PC,F,HU	: 	55.9 	56.1 b	56.7 
A,EFTA_FOR,TOTAL,PC,F,IE	: 	51.3 	52.1 	51.4 
A,EFTA_FOR,TOTAL,PC,F,IS	: 	54.2 	55.3 	56.7 
A,EFTA_FOR,TOTAL,PC,F,IT	: 	57.7 	57.6 	57.1 
A,EFTA_FOR,TOTAL,PC,F,LI	: 	48.9 	49.0 	49.1 
A,EFTA_FOR,TOTAL,PC,F,LT	: 	29.1 	27.9 	: 
A,EFTA_FOR,TOTAL,PC,F,LU	: 	48.9 	48.8 	48.4 
A,EFTA_FOR,TOTAL,PC,F,LV	: 	29.0 	26.2 	28.8 
A,EFTA_FOR,TOTAL,PC,F,MT	: 	38.8 p	41.3 	42.2 
A,EFTA_FOR,TOTAL,PC,F,NL	: 	55.3 	55.5 	55.2 
