STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,citizen,Country of citizenship,agedef,Age definition,age,Age class,unit,Unit of measure,sex,Sex,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,AT,Austria,2012,,91557,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,AT,Austria,2013,,101866,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,AT,Austria,2014,,116262,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,AT,Austria,2015,,166323,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,AT,Austria,2016,,129509,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,AT,Austria,2017,,111801,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,AT,Austria,2018,,105633,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,AT,Austria,2019,,109167,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,AT,Austria,2020,,103565,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,AT,Austria,2021,,118511,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,AT,Austria,2022,,201622,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,AT,Austria,2023,,147591,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,BE,Belgium,2012,,129477,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,BE,Belgium,2013,,120078,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,BE,Belgium,2014,,123158,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,BE,Belgium,2015,,146626,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,BE,Belgium,2016,,123702,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,BE,Belgium,2017,,126703,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,BE,Belgium,2018,,137860,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,BE,Belgium,2019,,150006,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,BE,Belgium,2020,,118683,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,BE,Belgium,2021,,139743,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,BE,Belgium,2022,,208356,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,BE,Belgium,2023,,169609,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,BG,Bulgaria,2012,,14103,,bp,"break in time series, provisional",,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,BG,Bulgaria,2013,,18570,,p,provisional,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,BG,Bulgaria,2014,,26615,,p,provisional,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,BG,Bulgaria,2015,,25223,,p,provisional,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,BG,Bulgaria,2016,,21241,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,BG,Bulgaria,2017,,25597,,p,provisional,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,BG,Bulgaria,2018,,29559,,p,provisional,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,BG,Bulgaria,2019,,37929,,p,provisional,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,BG,Bulgaria,2020,,37364,,p,provisional,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,BG,Bulgaria,2021,,39461,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,BG,Bulgaria,2022,,40619,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,BG,Bulgaria,2023,,56807,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,CH,Switzerland,2012,,149051,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,CH,Switzerland,2013,,160157,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,CH,Switzerland,2014,,156282,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,CH,Switzerland,2015,,153627,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,CH,Switzerland,2016,,149305,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,CH,Switzerland,2017,,143377,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,CH,Switzerland,2018,,144857,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,CH,Switzerland,2019,,145129,,,,,
dataflow,ESTAT:TPS00176(1.0),Immigration,A,Annual,TOTAL,Total,COMPLET,Age in completed years,TOTAL,Total,NR,Number,T,Total,CH,Switzerland,2020,,138778,,,,,
