,country_iso3_id,immigration_per_100000,year_id,convicts_per_100000,country_name,lon,lat,text
1,AUT,1229.37,2019,307.22,austria,16.3798,48.2201,"austria<br>Immigration 1229.37
 Crime307.22"
6,BEL,1305.65,2019,1766.57,belgium,4.36761,50.8371,"belgium<br>Immigration 1305.65
 Crime1766.57"
9,BGR,573.23,2019,335.3,bulgaria,23.3238,42.7105,"bulgaria<br>Immigration 573.23
 Crime335.3"
14,CHE,1692.41,2019,1132.84,switzerland,7.44821,46.948,"switzerland<br>Immigration 1692.41
 Crime1132.84"
19,CZE,992.22,2019,526.71,czechia,14.4205,50.0878,"czechia<br>Immigration 992.22
 Crime526.71"
24,DEU,1004.1,2019,872.28,germany,13.4115,52.5235,"germany<br>Immigration 1004.1
 Crime872.28"
29,DNK,1055.72,2019,884.65,denmark,12.5681,55.6763,"denmark<br>Immigration 1055.72
 Crime884.65"
34,EST,1376.07,2019,429.82,estonia,24.7586,59.4392,"estonia<br>Immigration 1376.07
 Crime429.82"
41,ESP,1592.75,2019,634.64,spain,-3.70327,40.4167,"spain<br>Immigration 1592.75
 Crime634.64"
46,FIN,593.27,2019,1502.35,finland,24.9525,60.1608,"finland<br>Immigration 593.27
 Crime1502.35"
51,FRA,572.25,2019,836.08,france,2.35097,48.8566,"france<br>Immigration 572.25
 Crime836.08"
55,HRV,955.24,2019,333.51,croatia,15.9614,45.8069,"croatia<br>Immigration 955.24
 Crime333.51"
60,HUN,913.69,2019,655.48,hungary,19.0408,47.4984,"hungary<br>Immigration 913.69
 Crime655.48"
66,LTU,1655.09,2019,628.39,lithuania,25.2799,54.6896,"lithuania<br>Immigration 1655.09
 Crime628.39"
71,LUX,4301.28,2019,1222.58,luxembourg,6.1296,49.61,"luxembourg<br>Immigration 4301.28
 Crime1222.58"
76,LVA,586.42,2019,423.09,latvia,24.1048,56.9465,"latvia<br>Immigration 586.42
 Crime423.09"
81,MNE,1713.12,2019,590.35,montenegro,19.2595,42.4602,"montenegro<br>Immigration 1713.12
 Crime590.35"
84,MKD,112.88,2019,264.33,north macedonia,21.4361,42.0024,"north macedonia<br>Immigration 112.88
 Crime264.33"
89,NLD,1243.92,2019,437.58,netherlands,4.89095,52.3738,"netherlands<br>Immigration 1243.92
 Crime437.58"
94,NOR,910.26,2019,275.5,norway,10.7387,59.9138,"norway<br>Immigration 910.26
 Crime275.5"
99,POL,596.99,2019,776.69,poland,21.02,52.26,"poland<br>Immigration 596.99
 Crime776.69"
102,PRT,927.28,2019,438.08,portugal,-9.13552,38.7072,"portugal<br>Immigration 927.28
 Crime438.08"
107,ROU,1044.94,2019,172.72,romania,26.0979,44.4479,"romania<br>Immigration 1044.94
 Crime172.72"
112,SWE,1126.63,2019,610.05,sweden,18.0645,59.3327,"sweden<br>Immigration 1126.63
 Crime610.05"
117,SVN,1499.68,2019,300.27,slovenia,14.5044,46.0546,"slovenia<br>Immigration 1499.68
 Crime300.27"
122,SVK,128.64,2019,521.61,slovakia,,,"slovakia<br>Immigration 128.64
 Crime521.61"
